org_name,org_uuid,founder_linkedin_url
10X Banking,a2323b6c-29b9-4750-905c-cdcbd9ce92b8,https://www.linkedin.com/in/antony-jenkins/
10X Genomics,cf3b00cf-ffbf-0e4f-6427-a60e5060de39,https://www.linkedin.com/in/ben-hindson-09739813/
10X Genomics,cf3b00cf-ffbf-0e4f-6427-a60e5060de39,https://www.linkedin.com/in/serge-saxonov-7b42572/
"111, Inc.",0680987f-23cd-4fa5-850c-38326fffaa36,https://www.linkedin.com/in/junling-liu-2b90724/
17zuoye,a79a6ae8-3c74-0db7-7e6b-b4f7662d37e8,https://www.linkedin.com/in/dun-xiao-3622629/
1Komma5°,1ca6a7b3-465b-443d-9028-388cfd1ad060,https://www.linkedin.com/in/micha-grueber-10227814
1Komma5°,1ca6a7b3-465b-443d-9028-388cfd1ad060,https://www.linkedin.com/in/philip-liesenfeld-a31851180
1Komma5°,1ca6a7b3-465b-443d-9028-388cfd1ad060,https://www.linkedin.com/in/philipp-schr%C3%B6der-b94b6576
1Komma5°,1ca6a7b3-465b-443d-9028-388cfd1ad060,https://www.linkedin.com/in/jannik-schall
1inch,8e5b2628-6d2b-4f0a-9808-07c935156515,https://linkedin.com/in/k06aa
1inch,8e5b2628-6d2b-4f0a-9808-07c935156515,https://www.linkedin.com/in/deacix/
360Learning,0995a94f-0661-0db6-fcae-cbb89937c945,https://www.linkedin.com/in/sebastien-mignot-83327b29
360Learning,0995a94f-0661-0db6-fcae-cbb89937c945,https://www.linkedin.com/in/nicoconut/
360Learning,0995a94f-0661-0db6-fcae-cbb89937c945,http://fr.linkedin.com/pub/guillaume-alary-raisonnier/29/486/984/en
3D Medicines,73588380-c823-48db-9139-31c17b38862b,https://www.linkedin.com/in/simon-shung-63186b73
4D Molecular Therapeutics,310235fd-88ee-87dd-d394-b71762ba2431,https://www.linkedin.com/in/theresajanke/
4D Molecular Therapeutics,310235fd-88ee-87dd-d394-b71762ba2431,https://www.linkedin.com/in/davidkirnmd
4G Clinical,e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,https://www.linkedin.com/in/ed-tourtellotte-5249441
4G Clinical,e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,https://www.linkedin.com/in/david-kelleher-042278
4Paradigm,7ec603f5-8f92-49ba-90da-cafee6bf1d4e,https://www.linkedin.com/in/shiwei-hu-03383527
4Paradigm,7ec603f5-8f92-49ba-90da-cafee6bf1d4e,https://www.linkedin.com/in/kentcyq
4Paradigm,7ec603f5-8f92-49ba-90da-cafee6bf1d4e,https://www.linkedin.com/in/wenyuan-dai-088a7655/
4Paradigm,7ec603f5-8f92-49ba-90da-cafee6bf1d4e,https://www.linkedin.com/in/feng-tian-6b109a77
55tuan.com,06abbfcf-2fc8-9cb1-c363-451a598e401e,https://www.linkedin.com/in/panguozhang/
55tuan.com,06abbfcf-2fc8-9cb1-c363-451a598e401e,https://www.linkedin.com/in/yunming-wang-b479a583/
6sense,eefcef54-822a-c8c6-6a6c-482543cb7098,http://www.linkedin.com/in/premaljshah
6sense,eefcef54-822a-c8c6-6a6c-482543cb7098,https://www.linkedin.com/in/viralbajaria
908 Devices,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,https://www.linkedin.com/in/scott-miller-2839826
908 Devices,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,https://www.linkedin.com/in/christopherpetty
908 Devices,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,https://www.linkedin.com/in/kjknopp
908 Devices,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,https://www.linkedin.com/in/steve-araiza-70b94a3
908 Devices,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,http://www.linkedin.com/in/christopherdavidbrown
908 Devices,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,https://www.linkedin.com/in/michaeljobin
91APP,6219bd58-fae6-6c7f-726c-1b19876fa06a,https://www.linkedin.com/in/leehappy
91APP,6219bd58-fae6-6c7f-726c-1b19876fa06a,https://www.linkedin.com/in/steven-ho%E4%BD%95%E8%8B%B1%E5%9C%BB-9949a971/
A24,1459907b-005b-4070-a9d3-36a94d751a26,https://www.linkedin.com/in/davidfenkel
A24,1459907b-005b-4070-a9d3-36a94d751a26,https://www.linkedin.com/in/matthew-bires-8502277
A24,1459907b-005b-4070-a9d3-36a94d751a26,https://www.linkedin.com/in/danielrkatz
ABOUT YOU,c45c5d39-9cf2-4063-ac9f-a679a9f3a7e8,https://www.linkedin.com/in/hannes-wiese-4a915b165
ABOUT YOU,c45c5d39-9cf2-4063-ac9f-a679a9f3a7e8,https://www.linkedin.com/in/tarek-m%C3%BCller-19898845/
ABOUT YOU,c45c5d39-9cf2-4063-ac9f-a679a9f3a7e8,https://www.linkedin.com/in/sebastian-betz-47280b18/
ACELYRIN,1bbea06c-169d-4e0b-9871-4e13f917490b,https://www.linkedin.com/in/robert-f-carey-042a101/
ACV,2de58174-7aa2-dcf3-4af3-89f9d0f8eec6,https://www.linkedin.com/in/magnachef
AEye,45ea769b-96ac-225a-623c-4ce674f7a589,https://www.linkedin.com/in/luis-dussan-3704516/
AEye,45ea769b-96ac-225a-623c-4ce674f7a589,https://www.linkedin.com/in/ransom-wuller-78502439/
AInnovation,2d21b1d6-2cd8-4960-b3fd-12536b633b9a,https://www.linkedin.com/in/faen-zhang-0ab57653/
ALX Oncology,fb2a5c32-0917-9630-ccb5-fb65046fe3fc,https://www.linkedin.com/in/jaume-pons-7560384
AMP Robotics,258ced84-7c9e-3fba-8bfe-bd406c026c88,https://www.linkedin.com/in/matanya/
ARRIS,5621317e-ed78-4400-b24f-1936d59ccb5b,https://www.linkedin.com/in/erick-davidson-3a14325/
ARRIS,5621317e-ed78-4400-b24f-1936d59ccb5b,https://www.linkedin.com/in/rileyr/
ARRIS,5621317e-ed78-4400-b24f-1936d59ccb5b,https://www.linkedin.com/in/ethane/
ASAPP,718691d1-edcb-e69a-c22b-5ac6110cccf7,https://www.linkedin.com/in/gustavo-sapoznik-91858b84
ASLAN Pharmaceuticals,bae013b9-c872-2688-07af-b65f308f6ca5,https://www.linkedin.com/in/carl-firth-9919301
AST SpaceMobile,68c1b996-c37f-4663-9a8d-5e180bac356f,https://www.linkedin.com/in/abelavellanemc/
ATAI Life Sciences,877a70c6-b6a3-4687-b191-cf3fa43fd868,https://www.linkedin.com/in/brand-florian/
AUTO1 Group,df5860b0-5f65-c6fb-49d1-9e3132e1d5df,https://www.linkedin.com/in/christian-bertermann-02513a52
AUTO1 Group,df5860b0-5f65-c6fb-49d1-9e3132e1d5df,https://www.linkedin.com/in/hakan-koc
AbCellera Biologics,c168dcc8-f2c3-4677-93b9-30a85cdac221,https://www.linkedin.com/in/kevin-heyries-1ab71525/
AbCellera Biologics,c168dcc8-f2c3-4677-93b9-30a85cdac221,https://www.linkedin.com/in/v%C3%A9ronique-lecault-b7353434/
Ablative Solutions,60285140-66f8-4539-b42f-2ed4a502beeb,https://www.linkedin.com/in/david-fischell-94417219
Abnormal Security,ea5170c0-5c33-40cb-8a18-7dd42d8efcd6,http://www.linkedin.com/in/evanreiser
Abnormal Security,ea5170c0-5c33-40cb-8a18-7dd42d8efcd6,https://www.linkedin.com/in/sanjay-jeyakumar/
Absci,c94583cc-c687-f207-3a7f-c0ee9b035f68,https://www.linkedin.com/in/sean-mcclain-259a4a53
Accel Club,5034db7f-b2f0-470a-81c3-8698ff6e5dd4,https://www.linkedin.com/in/mfirsau/
Accel Club,5034db7f-b2f0-470a-81c3-8698ff6e5dd4,https://www.linkedin.com/in/nick-tuzenko/
AcertaPharma,ec6935fd-2a3e-6e6c-8dcc-612ec8b1bb49,https://www.linkedin.com/in/tjeerd-barf-5339932/
Achilles Therapeutics,07bc8083-1155-c363-4bb8-c63215f5f26c,https://www.linkedin.com/in/sergio-quezada-6ba56015/
Achilles Therapeutics,07bc8083-1155-c363-4bb8-c63215f5f26c,https://www.linkedin.com/in/charles-swanton-29a52011/
Acko,d7a3a423-f6e5-f0b1-96fa-6e5f35e47765,https://www.linkedin.com/in/thevarundua
Acorns,916693b6-1588-fdb6-26d3-99abbae3cce6,https://www.linkedin.com/in/walter-cruttenden-58097b34
AdTheorent,015887d8-1cd1-4c94-0941-ad27ce721e8b,https://www.linkedin.com/in/joshuawalsh/
Ada,3e8ddad8-d168-3a24-ae9c-1ab0412a8f0e,https://www.linkedin.com/in/mikemurchison
Ada,3e8ddad8-d168-3a24-ae9c-1ab0412a8f0e,https://www.linkedin.com/in/davidhariri
Ada Health,b81cef58-e3ef-6c7a-55f8-1c30ddfc7697,https://www.linkedin.com/in/prof-dr-martin-christian-hirsch-8636855
Ada Health,b81cef58-e3ef-6c7a-55f8-1c30ddfc7697,https://www.linkedin.com/in/clairenovorol
Ada Health,b81cef58-e3ef-6c7a-55f8-1c30ddfc7697,https://www.linkedin.com/in/nathrath
Adagene,87c8abaf-8337-9d4c-17cc-007bcb08de15,https://www.linkedin.com/in/peter-luo-80b9675/
Addi,0eeff0e7-72d5-4b4a-ac66-bb8e94f9d4b5,https://www.linkedin.com/in/daniel-vallejo-83a01a41/
Addi,0eeff0e7-72d5-4b4a-ac66-bb8e94f9d4b5,https://www.linkedin.com/in/elmer-ortega-0112ba40/
Adjust,a9c99b38-cdb6-097a-01c1-8797ec7050a2,https://www.linkedin.com/in/paul1
Adjust,a9c99b38-cdb6-097a-01c1-8797ec7050a2,https://www.linkedin.com/in/manuel-kniep-3bbb36108
